,0
technology,0.03807991957778331
big,0.03549132947976877
store,0.03393817542096001
microsoft,0.03290273938175417
rise,0.03238502136215125
bell,0.03134958532294545
forecast,0.030831867303342492
boost,0.030314149283739628
data,0.03031414928373961
earnings,0.030314149283739607
apple,0.030314149283739593
fall,0.030314149283739572
investor,0.02979643126413667
tuesday,0.028760995224930908
google,0.028760995224930853
passive,0.02772555918572503
time,0.02772555918572499
qcom,0.027207841166122126
soar,0.02720784116612211
higher,0.027207841166122092
analyst,0.02669012314651919
dollar,0.02617240512691631
warren,0.02617240512691631
iphone,0.026172405126916248
beat,0.02565468710731335
video,0.02565468710731335
research,0.02461925106810757
today,0.024619251068107532
recession,0.02410153304850467
exclusive,0.024101533048504663
