,precision_macro_mean,precision_macro_std,precision_micro_mean,precision_micro_std,precision_weighted_mean,precision_weighted_std
LogisticRegression,0.569394407273975,0.0,0.5722543352601156,0.0,0.570415810126168,0.0
RandomForestClassifier,0.5725981620718463,0.0,0.5722543352601156,0.0,0.5743172961304998,0.0
MLPClassifier,0.5601540616246499,0.0,0.5635838150289018,0.0,0.5610810220041773,0.0
GaussianNB,0.6437922198928487,0.0,0.6184971098265896,0.0,0.6410427514073859,0.0
MultinomialNB,0.6009049773755656,0.0,0.6011560693641619,0.0,0.6009572882065232,0.0
BernoulliNB,0.5375067824199675,0.0,0.5404624277456648,0.0,0.5389142325750613,0.0
DecisionTreeClassifier,0.5145348837209303,0.0,0.5289017341040463,0.0,0.5153750504100014,0.0
