,precision_macro_mean,precision_macro_std,precision_micro_mean,precision_micro_std,precision_weighted_mean,precision_weighted_std
LogisticRegression,0.5494736842105263,0.0,0.5491329479768786,0.0,0.5511773653787648,0.0
RandomForestClassifier,0.5559830060549292,0.0,0.5549132947976878,0.0,0.5577658581503315,0.0
MLPClassifier,0.5543727106227105,0.0,0.5578034682080925,0.0,0.5549351298990027,0.0
GaussianNB,0.6676234213547646,0.0,0.6329479768786127,0.0,0.6639733745678013,0.0
MultinomialNB,0.6035929963158494,0.0,0.6011560693641619,0.0,0.6031868418239015,0.0
BernoulliNB,0.5874670879410215,0.0,0.5895953757225434,0.0,0.588027163673001,0.0
DecisionTreeClassifier,0.49849236129723934,0.0,0.5,0.0,0.5001675154114178,0.0
