,precision_macro_mean,precision_macro_std,precision_micro_mean,precision_micro_std,precision_weighted_mean,precision_weighted_std
LogisticRegression,0.5410305665082735,0.0,0.5433526011560693,0.0,0.542481838163146,0.0
RandomForestClassifier,0.5355470840021401,0.0,0.5346820809248555,0.0,0.5372770901567095,0.0
MLPClassifier,0.4728025597590815,0.0,0.48554913294797686,0.0,0.4750002447916497,0.0
GaussianNB,0.6627864005912787,0.0,0.6329479768786127,0.0,0.6595074529305461,0.0
MultinomialNB,0.6125187406296851,0.0,0.6098265895953757,0.0,0.6120464334306834,0.0
BernoulliNB,0.5874670879410215,0.0,0.5895953757225434,0.0,0.588027163673001,0.0
DecisionTreeClassifier,0.42943037974683546,0.0,0.45375722543352603,0.0,0.4277292017267872,0.0
