,precision_macro_mean,precision_macro_std,precision_micro_mean,precision_micro_std,precision_weighted_mean,precision_weighted_std
LogisticRegression,0.5698863636363636,0.0,0.569364161849711,0.0,0.5716270362585392,0.0
RandomForestClassifier,0.5668407487791645,0.0,0.569364161849711,0.0,0.5680423740508532,0.0
MLPClassifier,0.6025454409733886,0.0,0.6011560693641619,0.0,0.6022973389003123,0.0
GaussianNB,0.639556277056277,0.0,0.6040462427745664,0.0,0.6362375822635938,0.0
MultinomialNB,0.5834920634920635,0.0,0.5838150289017341,0.0,0.5851068905404166,0.0
BernoulliNB,0.5375067824199675,0.0,0.5404624277456648,0.0,0.5389142325750613,0.0
DecisionTreeClassifier,0.5013680991469499,0.0,0.5260115606936416,0.0,0.5029683239227092,0.0
